エリア,利用用途,店名,ジャンル特徴,予算(口コミ相場),アクセス備考,GoogleマップURL,食べログURL
"烏森口・西口通り","①1軒目 (食事)","築地かねまさ","魚介メインの立ち飲み屋・高コスパ","〜2,000円","新橋駅烏森口より徒歩","https://www.google.com/maps/search/?api=1&query=築地かねまさ+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=築地かねまさ"
"烏森口・西口通り","①1軒目 (食事)","あぶり 清水 総本店","焼きとんの名店・あみレバが絶品","3,000円〜4,000円","新橋エリアに6店舗展開","https://www.google.com/maps/search/?api=1&query=あぶり清水+総本店+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=あぶり清水"
"烏森口・西口通り","①1軒目 (食事)","ヒノマル食堂 新橋総本店","希少部位が豊富な焼き鳥","3,000円〜4,000円","烏森口周辺","https://www.google.com/maps/search/?api=1&query=ヒノマル食堂+新橋総本店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=ヒノマル食堂"
"烏森口・西口通り","①1軒目 (食事)","裏なんくるないさ","絶品沖縄料理・そーみんちゃんぷるー","3,000円〜4,000円","烏森口周辺","https://www.google.com/maps/search/?api=1&query=裏なんくるないさ+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=裏なんくるないさ"
"烏森口・西口通り","①1軒目 (食事)","なんどき屋","24時間営業の大衆居酒屋","2,000円〜3,000円","烏森口周辺","https://www.google.com/maps/search/?api=1&query=なんどき屋+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=なんどき屋"
"烏森口・西口通り","①1軒目 (食事)","烏森酒場 新橋店","地鶏焼き鳥と産地直送海鮮・個室あり","3,000円〜4,000円","烏森口より徒歩2分","https://www.google.com/maps/search/?api=1&query=烏森酒場+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=烏森酒場"
"烏森口・西口通り","②2軒目 (定番Bar)","Bar Atrium en","落ち着いたオーセンティックバー","3,000円〜5,000円","烏森口より徒歩3分","https://www.google.com/maps/search/?api=1&query=Bar+Atrium+en+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=Bar+Atrium+en"
"烏森口・西口通り","②2軒目 (定番Bar)","Bar Spirits","フルーツカクテルが人気の名店","4,000円〜6,000円","烏森口より徒歩2分","https://www.google.com/maps/search/?api=1&query=Bar+Spirits+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=Bar+Spirits"
"烏森口・西口通り","②2軒目 (定番Bar)","ランドバーアーティザン","隠れ家的な高級感あるバー","5,000円〜7,000円","烏森口より徒歩3分","https://www.google.com/maps/search/?api=1&query=ランドバーアーティザン+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=ランドバーアーティザン"
"烏森口・西口通り","③2軒目 (特化・遊)","ビアポンバー GROVE 新橋店","ダーツ・ビアポン・カラオケ","2,000円〜4,000円","烏森口より徒歩3分","https://www.google.com/maps/search/?api=1&query=ビアポンバー+GROVE+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=GROVE"
"烏森口・西口通り","③2軒目 (特化・遊)","野崎酒店","日本酒専門居酒屋の老舗","4,000円〜5,000円","烏森口より徒歩2分","https://www.google.com/maps/search/?api=1&query=野崎酒店+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=野崎酒店"
"烏森口・西口通り","③2軒目 (特化・遊)","純米酒専門YATA 新橋店","日本酒立ち飲み・利き酒コースあり","2,000円〜3,000円","烏森口より徒歩3分","https://www.google.com/maps/search/?api=1&query=純米酒専門YATA+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=YATA"
"SL広場・日比谷口","①1軒目 (食事)","立呑み 晩杯屋 新橋SL広場店","圧倒的コスパの立ち飲み屋","1,000円〜2,000円","SL広場すぐ","https://www.google.com/maps/search/?api=1&query=晩杯屋+新橋SL広場店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=晩杯屋"
"SL広場・日比谷口","①1軒目 (食事)","個室居酒屋 八吉 新橋店","のどぐろ等、海鮮特化の個室居酒屋","5,000円〜6,000円","日比谷口徒歩1分","https://www.google.com/maps/search/?api=1&query=八吉+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=八吉"
"SL広場・日比谷口","②2軒目 (定番Bar)","Bar Tiare","カクテルコンペ入賞の本格バー","4,000円〜6,000円","日比谷口より徒歩3分","https://www.google.com/maps/search/?api=1&query=Bar+Tiare+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=Tiare"
"SL広場・日比谷口","③2軒目 (特化・遊)","ReBase -Entertainment Bar-","ダーツ・カラオケ完備のアミューズメント","4,000円〜5,000円","SL広場徒歩15秒","https://www.google.com/maps/search/?api=1&query=ReBase+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=ReBase"
"SL広場・日比谷口","③2軒目 (特化・遊)","ワインバーマイアミパティオ","カジュアルなイタリアンワインバー","3,000円〜4,000円","SL広場前","https://www.google.com/maps/search/?api=1&query=マイアミパティオ+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=マイアミパティオ"
"銀座口・汐留口","①1軒目 (食事)","GINZA 我歩","落ち着いた大人の居酒屋","5,000円〜6,000円","銀座口より徒歩2分","https://www.google.com/maps/search/?api=1&query=GINZA+我歩+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=我歩"
"銀座口・汐留口","①1軒目 (食事)","銀座 しら鳥","名物・鶏素揚げの鶏料理居酒屋","6,000円〜7,000円","新橋駅より徒歩1分","https://www.google.com/maps/search/?api=1&query=銀座+しら鳥+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=しら鳥"
"銀座口・汐留口","②2軒目 (定番Bar)","THE BAR CASABLANCA GINZA","格式高いオーセンティックバー","5,000円〜7,000円","銀座7丁目・新橋寄り","https://www.google.com/maps/search/?api=1&query=CASABLANCA+GINZA+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=CASABLANCA"
"銀座口・汐留口","③2軒目 (特化・遊)","HUB 新橋銀座口店","英国風パブ・スポーツ観戦で賑わう","1,000円〜2,000円","銀座口より徒歩2分","https://www.google.com/maps/search/?api=1&query=HUB+新橋銀座口店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=HUB"
"銀座口・汐留口","③2軒目 (特化・遊)","ダイニングダーツバーBee 銀座店","広々としたダーツ＆アミューズメント","4,000円〜5,000円","銀座口・コリドー街寄り","https://www.google.com/maps/search/?api=1&query=ダーツバーBee+銀座店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=Bee"
"新橋駅前ビル(東口)","①1軒目 (食事)","トーキョースタンド","大衆酒場・立ち飲み要素あり","3,000円〜4,000円","新橋駅前ビル1号館B1F","https://www.google.com/maps/search/?api=1&query=トーキョースタンド+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=トーキョースタンド"
"新橋駅前ビル(東口)","①1軒目 (食事)","ビーフン東","名物ビーフンと台湾料理","2,000円〜3,000円","新橋駅前ビル1号館2F","https://www.google.com/maps/search/?api=1&query=ビーフン東+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=ビーフン東"
"新橋駅前ビル(東口)","③2軒目 (特化・遊)","信州おさけ村","長野の地酒特化・立ち飲み","1,000円〜2,000円","新橋駅前ビル1号館1F","https://www.google.com/maps/search/?api=1&query=信州おさけ村+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=信州おさけ村"
